baseline,family,task,seed,status,source_image,source_prompt,target_prompt,editing_instruction,result_image,metadata,command,control_interface,mask_input_to_editor,eval_mask,backbone,runner,config_id,failure_reason,notes
flowedit,rf_flow,cat_crown,10,pending,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",add a small golden crown on the cat's head,outputs/external_baselines/cat_crown/flowedit/seed_10/result.png,outputs/external_baselines/cat_crown/flowedit/seed_10/metadata.json,outputs/external_baselines/cat_crown/flowedit/seed_10/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/cat_crown_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,cat_crown,11,pending,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",add a small golden crown on the cat's head,outputs/external_baselines/cat_crown/flowedit/seed_11/result.png,outputs/external_baselines/cat_crown/flowedit/seed_11/metadata.json,outputs/external_baselines/cat_crown/flowedit/seed_11/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/cat_crown_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,cat_crown,12,pending,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",add a small golden crown on the cat's head,outputs/external_baselines/cat_crown/flowedit/seed_12/result.png,outputs/external_baselines/cat_crown/flowedit/seed_12/metadata.json,outputs/external_baselines/cat_crown/flowedit/seed_12/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/cat_crown_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,dog_sunglasses,10,pending,data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,A front-facing portrait of a dog in snow.,A front-facing portrait of the same dog wearing black sunglasses in snow.,add black sunglasses on the dog's eyes,outputs/external_baselines/dog_sunglasses/flowedit/seed_10/result.png,outputs/external_baselines/dog_sunglasses/flowedit/seed_10/metadata.json,outputs/external_baselines/dog_sunglasses/flowedit/seed_10/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/dog_sunglasses_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,dog_sunglasses,11,pending,data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,A front-facing portrait of a dog in snow.,A front-facing portrait of the same dog wearing black sunglasses in snow.,add black sunglasses on the dog's eyes,outputs/external_baselines/dog_sunglasses/flowedit/seed_11/result.png,outputs/external_baselines/dog_sunglasses/flowedit/seed_11/metadata.json,outputs/external_baselines/dog_sunglasses/flowedit/seed_11/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/dog_sunglasses_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,dog_sunglasses,12,pending,data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,A front-facing portrait of a dog in snow.,A front-facing portrait of the same dog wearing black sunglasses in snow.,add black sunglasses on the dog's eyes,outputs/external_baselines/dog_sunglasses/flowedit/seed_12/result.png,outputs/external_baselines/dog_sunglasses/flowedit/seed_12/metadata.json,outputs/external_baselines/dog_sunglasses/flowedit/seed_12/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/dog_sunglasses_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,mug_heart,10,pending,data/pretty_free_candidates/pexels_white_mug_6312107.jpg,A minimalist photo of a plain white ceramic mug on a grey background.,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",add a small red heart printed on the front of the mug,outputs/external_baselines/mug_heart/flowedit/seed_10/result.png,outputs/external_baselines/mug_heart/flowedit/seed_10/metadata.json,outputs/external_baselines/mug_heart/flowedit/seed_10/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/mug_heart_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,mug_heart,11,pending,data/pretty_free_candidates/pexels_white_mug_6312107.jpg,A minimalist photo of a plain white ceramic mug on a grey background.,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",add a small red heart printed on the front of the mug,outputs/external_baselines/mug_heart/flowedit/seed_11/result.png,outputs/external_baselines/mug_heart/flowedit/seed_11/metadata.json,outputs/external_baselines/mug_heart/flowedit/seed_11/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/mug_heart_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,mug_heart,12,pending,data/pretty_free_candidates/pexels_white_mug_6312107.jpg,A minimalist photo of a plain white ceramic mug on a grey background.,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",add a small red heart printed on the front of the mug,outputs/external_baselines/mug_heart/flowedit/seed_12/result.png,outputs/external_baselines/mug_heart/flowedit/seed_12/metadata.json,outputs/external_baselines/mug_heart/flowedit/seed_12/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/mug_heart_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
flowedit,rf_flow,tshirt_star,10,pending,data/pretty_free_candidates/pexels_person_white_tshirt_blue_jeans_8217483.jpg,"A close-up fashion photo of a person wearing a plain white t-shirt and blue jeans, with natural fabric folds and soft studio lighting.","The same person wearing the same white t-shirt and blue jeans, with a clearly visible medium-sized bright red star printed on the center chest, while preserving the fabric folds, shadows, jeans, pose, and background.",add a bright red star printed on the center of the t-shirt,outputs/external_baselines/tshirt_star/flowedit/seed_10/result.png,outputs/external_baselines/tshirt_star/flowedit/seed_10/metadata.json,outputs/external_baselines/tshirt_star/flowedit/seed_10/command.txt,text_inversion,none,experiments/support_v3_2026-05-11/eval_masks/tshirt_star_eval_mask.png,,,core6_complete_baseline_protocol_20260601,environment/adapter not validated on current server,
