task,method,seed,edit_success,preservation,locality,artifact,overall,notes
cat_crown,ours_full,10,4,5,5,4,4,Crown visible; cat identity and background preserved.
cat_crown,ours_full,11,4,5,5,4,4,Crown visible; cat identity and background preserved.
cat_crown,ours_full,12,4,5,5,4,4,Crown visible; cat identity and background preserved.
cat_crown,flowedit,10,5,1,1,3,2,"Crown strong, but cat/background are redrawn."
cat_crown,flowedit,11,5,1,1,3,2,"Crown strong, but cat/background are redrawn."
cat_crown,flowedit,12,5,1,1,3,2,"Crown strong, but cat/background are redrawn."
cat_crown,splitflow,10,5,2,2,3,3,Crown strong; cat identity and pose drift.
cat_crown,splitflow,11,5,2,2,3,3,Crown strong; cat identity and pose drift.
cat_crown,splitflow,12,5,2,2,3,3,Crown strong; cat identity and pose drift.
cat_crown,fireflow,10,4,2,2,3,3,Crown appears; cat identity/pose drift.
cat_crown,fireflow,11,4,2,2,3,3,Crown appears; cat identity/pose drift.
cat_crown,fireflow,12,4,2,2,3,3,Crown appears; cat identity/pose drift.
cat_crown,rf_solver_edit,10,4,2,2,3,3,Crown appears; FLUX output changes identity/pose.
cat_crown,rf_solver_edit,11,4,2,2,3,3,Crown appears; FLUX output changes identity/pose.
cat_crown,rf_solver_edit,12,4,2,2,3,3,Crown appears; FLUX output changes identity/pose.
dog_sunglasses,ours_full,10,3,5,5,3,4,Sunglasses are subtle/semi-transparent; dog and background preserved.
dog_sunglasses,ours_full,11,3,5,5,3,4,Sunglasses are subtle/semi-transparent; dog and background preserved.
dog_sunglasses,ours_full,12,3,5,5,3,4,Sunglasses are subtle/semi-transparent; dog and background preserved.
dog_sunglasses,flowedit,10,5,2,2,3,3,Sunglasses strong; dog identity and composition drift.
dog_sunglasses,flowedit,11,5,2,2,3,3,Sunglasses strong; dog identity and composition drift.
dog_sunglasses,flowedit,12,5,2,2,3,3,Sunglasses strong; dog identity and composition drift.
dog_sunglasses,splitflow,10,5,3,3,3,3,Sunglasses strong; identity and face geometry still change.
dog_sunglasses,splitflow,11,5,3,3,3,3,Sunglasses strong; identity and face geometry still change.
dog_sunglasses,splitflow,12,5,3,3,3,3,Sunglasses strong; identity and face geometry still change.
dog_sunglasses,fireflow,10,5,2,2,3,3,Sunglasses clear; identity and clothing/background details drift.
dog_sunglasses,fireflow,11,5,2,2,3,3,Sunglasses clear; identity and clothing/background details drift.
dog_sunglasses,fireflow,12,5,2,2,3,3,Sunglasses clear; identity and clothing/background details drift.
dog_sunglasses,rf_solver_edit,10,4,2,2,3,3,Sunglasses generally visible; identity and layout drift.
dog_sunglasses,rf_solver_edit,11,4,2,2,3,3,Sunglasses generally visible; identity and layout drift.
dog_sunglasses,rf_solver_edit,12,4,2,2,3,3,Sunglasses generally visible; identity and layout drift.
mug_heart,ours_full,10,5,5,5,4,5,Heart clear; mug layout and background preserved.
mug_heart,ours_full,11,5,5,5,4,5,Heart clear; mug layout and background preserved.
mug_heart,ours_full,12,5,5,5,4,5,Heart clear; mug layout and background preserved.
mug_heart,flowedit,10,4,3,3,3,3,Heart appears; some seeds shift viewpoint or scene layout.
mug_heart,flowedit,11,4,3,3,3,3,Heart appears; some seeds shift viewpoint or scene layout.
mug_heart,flowedit,12,4,3,3,3,3,Heart appears; some seeds shift viewpoint or scene layout.
