baseline,task,seed,status,source_image,source_prompt,target_prompt,result_image,metadata,command,matched_conditions,failure_reason,notes
flowedit,cat_crown,10,complete,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",outputs/baselines/flowedit/cat_crown/seed_10/result.png,outputs/baselines/flowedit/cat_crown/seed_10/metadata.json,outputs/baselines/flowedit/cat_crown/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,cat_crown,11,complete,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",outputs/baselines/flowedit/cat_crown/seed_11/result.png,outputs/baselines/flowedit/cat_crown/seed_11/metadata.json,outputs/baselines/flowedit/cat_crown/seed_11/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,cat_crown,12,complete,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",outputs/baselines/flowedit/cat_crown/seed_12/result.png,outputs/baselines/flowedit/cat_crown/seed_12/metadata.json,outputs/baselines/flowedit/cat_crown/seed_12/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_bow_tie_phase2,10,complete,data/paper_images/dog_sitting_cc0.jpg,A photo of a shaggy grey and white dog sitting in grass.,"A photo of the same shaggy grey and white dog sitting in the same grass, wearing a small red bow tie attached at the front of its neck, while the dog, grass, pose, and background remain unchanged.",outputs/baselines/flowedit/dog_bow_tie_phase2/seed_10/result.png,outputs/baselines/flowedit/dog_bow_tie_phase2/seed_10/metadata.json,outputs/baselines/flowedit/dog_bow_tie_phase2/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_bow_tie_phase2,11,complete,data/paper_images/dog_sitting_cc0.jpg,A photo of a shaggy grey and white dog sitting in grass.,"A photo of the same shaggy grey and white dog sitting in the same grass, wearing a small red bow tie attached at the front of its neck, while the dog, grass, pose, and background remain unchanged.",outputs/baselines/flowedit/dog_bow_tie_phase2/seed_11/result.png,outputs/baselines/flowedit/dog_bow_tie_phase2/seed_11/metadata.json,outputs/baselines/flowedit/dog_bow_tie_phase2/seed_11/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_bow_tie_phase2,12,complete,data/paper_images/dog_sitting_cc0.jpg,A photo of a shaggy grey and white dog sitting in grass.,"A photo of the same shaggy grey and white dog sitting in the same grass, wearing a small red bow tie attached at the front of its neck, while the dog, grass, pose, and background remain unchanged.",outputs/baselines/flowedit/dog_bow_tie_phase2/seed_12/result.png,outputs/baselines/flowedit/dog_bow_tie_phase2/seed_12/metadata.json,outputs/baselines/flowedit/dog_bow_tie_phase2/seed_12/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_front_sunglasses_phase2,10,complete,data/pretty_free_candidates/commons_dog_front_medusa.jpg,A close-up front-facing portrait of a dog indoors.,"A close-up front-facing portrait of the same dog wearing black sunglasses aligned across both eyes indoors, while the dog face, ears, fur, nose, floor, and lighting remain unchanged.",outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_10/result.png,outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_10/metadata.json,outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_front_sunglasses_phase2,11,complete,data/pretty_free_candidates/commons_dog_front_medusa.jpg,A close-up front-facing portrait of a dog indoors.,"A close-up front-facing portrait of the same dog wearing black sunglasses aligned across both eyes indoors, while the dog face, ears, fur, nose, floor, and lighting remain unchanged.",outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_11/result.png,outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_11/metadata.json,outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_11/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_front_sunglasses_phase2,12,complete,data/pretty_free_candidates/commons_dog_front_medusa.jpg,A close-up front-facing portrait of a dog indoors.,"A close-up front-facing portrait of the same dog wearing black sunglasses aligned across both eyes indoors, while the dog face, ears, fur, nose, floor, and lighting remain unchanged.",outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_12/result.png,outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_12/metadata.json,outputs/baselines/flowedit/dog_front_sunglasses_phase2/seed_12/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,bowl_apple_inside,10,complete,data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.","A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",outputs/baselines/flowedit/bowl_apple_inside/seed_10/result.png,outputs/baselines/flowedit/bowl_apple_inside/seed_10/metadata.json,outputs/baselines/flowedit/bowl_apple_inside/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
