task_id,category,edit_success_1_5,preservation_1_5,locality_1_5,artifact_1_5_lower_better,overall_1_5,gate_decision,notes
cat_crown,T1 accessory,5,4,5,1,5,pass,"DeCE-RF adds a clear crown with good source preservation."
dog_crown_phase2,T1 accessory,1,5,5,1,2,fail_or_reprompt,"DeCE-RF preserves the dog but does not visibly add the crown; generic support succeeds better."
cat_side_crown_phase2,T1 accessory,1,5,5,1,2,fail_or_reprompt,"DeCE-RF mostly preserves source but crown is absent or too weak; direct/generic change more but are not clean."
bowl_apple_inside,T2 container,5,5,5,1,5,pass,"DeCE-RF places a small red apple inside the bowl with strong preservation."
white_bowl_strawberry_phase2,T2 container,5,5,5,1,5,pass,"DeCE-RF places strawberry in bowl with much better locality than direct target."
brown_bowl_lemon_phase2,T2 container,2,4,4,2,3,borderline_reprompt,"DeCE-RF keeps source view but lemon is weak/ambiguous; direct target forms lemon but drifts heavily."
tshirt_star,T3 decal,5,5,5,1,5,pass,"DeCE-RF adds a clear red star while preserving pose and background."
mug_heart,T3 decal,5,5,5,1,5,pass,"DeCE-RF adds a small heart on the mug with strong preservation."
tote_leaf,T3 decal,3,5,4,1,3,borderline_reprompt,"DeCE-RF preserves tote but leaf/logo is very small; direct target changes bag identity."
red_chair_blue,T4 recolor,5,4,5,1,5,pass,"DeCE-RF recolors the chair blue while preserving room context."
red_chair_product_blue_phase2,T4 recolor,4,4,4,2,4,pass,"DeCE-RF recolors main chair body but legs/edges remain partly red; still useful for breadth."
red_chair_restaurant_blue_phase2,T4 recolor,2,4,2,3,2,fail_or_reprompt,"DeCE-RF introduces blue/background artifacts and does not cleanly recolor the chair."
pillow_vertical_fabric_strip,T5 surface,5,5,4,1,5,pass,"DeCE-RF places the Phase1 canonical vertical glossy blue strip on the pillow with good preservation."
white_pillow_blue_dots_phase2,T5 surface,4,5,4,1,4,pass,"DeCE-RF adds subtle blue dots; effect is small but localized and clean."
white_pillow_blue_cross_phase2,T5 surface,5,5,4,1,5,pass,"DeCE-RF adds a clear blue cross on the front pillow with good preservation."
backpack_remove_toy_charm,T6 removal,1,5,5,1,2,fail_or_reprompt,"DeCE-RF preserves source but charm remains; removal does not succeed."
backpack_remove_silver_keychain_phase2,T6 removal,1,5,5,1,2,fail_or_reprompt,"DeCE-RF preserves source but keychain remains; removal does not succeed."
bag_remove_decorative_tag_phase2,T6 removal,1,3,2,3,1,fail_or_reprompt,"DeCE-RF changes strap/tag appearance rather than removing cleanly."
