task,method,seed,result,metadata,command,support_condition,notes
cat_crown,direct_target_raw,10,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_10/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_10/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_10/command.txt,none,Raw direct target SD3 row; no support input.
cat_crown,direct_target_mask_blend,10,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: M_edit * direct_target + (1-M_edit) * source.
cat_crown,flowedit_mask_blend,10,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/flowedit_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/flowedit_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/flowedit_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: M_edit * FlowEdit + (1-M_edit) * source.
cat_crown,support_v3_controller_rmsgap,10,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/support_v3_controller_rmsgap/seed_10/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
cat_crown,direct_target_raw,11,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_11/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_11/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_11/command.txt,none,Raw direct target SD3 row; no support input.
cat_crown,direct_target_mask_blend,11,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: M_edit * direct_target + (1-M_edit) * source.
cat_crown,flowedit_mask_blend,11,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/flowedit_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/flowedit_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/flowedit_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: M_edit * FlowEdit + (1-M_edit) * source.
cat_crown,support_v3_controller_rmsgap,11,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/support_v3_controller_rmsgap/seed_11/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.
cat_crown,direct_target_raw,12,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_12/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_12/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_raw/seed_12/command.txt,none,Raw direct target SD3 row; no support input.
cat_crown,direct_target_mask_blend,12,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_12/result.png,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_12/metadata.json,outputs/e2_support_matched_diagnostic_t1_t4/cat_crown/direct_target_mask_blend/seed_12/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: M_edit * direct_target + (1-M_edit) * source.
