task_id,core_id,category,file,page_or_source_url,direct_download_url,source,license_note,selection_note
cat_crown,T1,attached_accessory,data/paper_images/cat_sitting_in_grass.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Phase 1 canonical attached crown task.
dog_bow_tie_phase2,T1,attached_accessory,data/paper_images/dog_sitting_cc0.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Shaggy dog with visible neck/chest area for red bow-tie accessory insertion.
cat_side_sunglasses_phase2,T1,attached_accessory,data/paper_images/cat_on_grass.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Side-view cat for face/eye sunglasses accessory insertion.
bowl_apple_inside,T2,container_insertion,data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,https://www.pexels.com/photo/5864348/,https://images.pexels.com/photos/5864348/pexels-photo-5864348.jpeg,Pexels,Pexels free-to-use stock photo; already recorded in data/phase1_asset_provenance.md.,Phase 1 canonical visible bowl interior.
white_bowl_strawberry_phase2,T2,container_insertion,data/phase2_candidates/pexels_white_bowl_plate_6863362.jpg,https://www.pexels.com/photo/white-bowl-on-round-ceramic-plate-on-white-table-6863362/,https://images.pexels.com/photos/6863362/pexels-photo-6863362.jpeg?auto=compress&cs=tinysrgb&w=1400,Pexels,Pexels free-to-use stock photo; retain page URL and license page for provenance.,White bowl on plate; stronger container-style relation than flat plate.
brown_bowl_lemon_phase2,T2,container_insertion,data/phase2_candidates/pexels_brown_ceramic_bowl_black_surface_7236397.jpg,https://www.pexels.com/photo/7236397/,https://images.pexels.com/photos/7236397/pexels-photo-7236397.jpeg?auto=compress&cs=tinysrgb&w=1400,Pexels,Pexels free-to-use stock photo; retain page URL and license page for provenance.,Close-up bowl interior with nearby chopsticks to preserve.
tshirt_star,T3,surface_decal,data/pretty_free_candidates/pexels_person_white_tshirt_blue_jeans_8217483.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Phase 1 canonical shirt decal task.
mug_heart,T3,surface_decal,data/pretty_free_candidates/pexels_white_mug_6312107.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Clean mug front surface for compact decal.
tote_leaf,T3,surface_decal,data/pretty_free_candidates/pexels_white_tote_bag_4068314.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Flat tote bag panel for larger decal.
red_chair_blue,T4,recolor,data/pretty_free_candidates/pexels_red_armchair_room_6758347.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Phase 1 canonical chair recolor task.
red_chair_product_blue_phase2,T4,recolor,data/pretty_free_candidates/pexels_red_chair_white_bg_4172380.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Product-style red chair with clean silhouette.
red_chair_restaurant_blue_phase2,T4,recolor,data/pretty_free_candidates/pexels_red_chair_restaurant_32696868.jpg,existing project asset,,project,Existing tracked project image; retain original project provenance if available.,Scene-context red chair for background preservation.
pillow_vertical_fabric_strip,T5,surface_material_strip,data/pretty_free_candidates/pexels_plain_pillow_sofa_phase1.jpg,https://www.pexels.com/photo/13177992/,https://images.pexels.com/photos/13177992/pexels-photo-13177992.jpeg,Pexels,Pexels free-to-use stock photo; already recorded in data/phase1_asset_provenance.md.,Phase 1 canonical vertical glossy blue silk strip task.
white_pillow_blue_dots_phase2,T5,surface_pattern,data/phase2_candidates/pexels_white_pillow_brown_sofa_6312089.jpg,https://www.pexels.com/photo/6312089/,https://images.pexels.com/photos/6312089/pexels-photo-6312089.jpeg?auto=compress&cs=tinysrgb&w=1400,Pexels,Pexels free-to-use stock photo; retain page URL and license page for provenance.,Single white pillow on sofa; strong surface pattern candidate.
white_pillow_blue_cross_phase2,T5,surface_pattern,data/phase2_candidates/pexels_white_pillow_sofa_13941365.jpg,https://www.pexels.com/photo/13941365/,https://images.pexels.com/photos/13941365/pexels-photo-13941365.jpeg?auto=compress&cs=tinysrgb&w=1400,Pexels,Pexels free-to-use stock photo; retain page URL and license page for provenance.,Multiple pillows; target front white pillow only.
pillow_same_color_linen_panel,T5,localized_same_color_material_replacement,data/pretty_free_candidates/pexels_plain_pillow_sofa_phase1.jpg,existing project asset,,Pexels,Existing tracked project image; retain original Pexels provenance if available.,Dark grey pillow on rattan-backed sofa; stronger contrast for same-color woven linen material panel review.
pillow_same_color_terry_panel,T5,localized_same_color_material_replacement,data/phase2_candidates/pexels_green_chair_white_pillow_6312055.jpg,https://www.pexels.com/photo/green-sofa-and-white-throw-pillow-6312055/,https://images.pexels.com/photos/6312055/pexels-photo-6312055.jpeg?auto=compress&cs=tinysrgb&w=1400,Pexels,Pexels free-to-use stock photo; retain page URL and license page for provenance.,Single white pillow centered on green velvet armchair; high contrast supports same-color terry material panel review.
backpack_remove_toy_charm,T6,exposed_removal,data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,existing project asset,,Unsplash,Existing tracked project image; retain original Unsplash provenance if available.,Phase 1 canonical exposed charm removal.
backpack_remove_silver_keychain_phase2,T6,exposed_removal,data/phase2_candidates/pexels_backpack_keychain_35171863.jpg,https://www.pexels.com/photo/35171863/,https://images.pexels.com/photos/35171863/pexels-photo-35171863.jpeg?auto=compress&cs=tinysrgb&w=1400,Pexels,Pexels free-to-use stock photo; retain page URL and license page for provenance.,Dark backpack with localized silver keychain; support gate required.
