baseline,task,seed,status,source_image,source_prompt,target_prompt,result_image,metadata,command,matched_conditions,failure_reason,notes
flowedit,cat_crown,10,complete,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",outputs/baselines/flowedit/cat_crown/seed_10/result.png,outputs/baselines/flowedit/cat_crown/seed_10/metadata.json,outputs/baselines/flowedit/cat_crown/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,cat_crown,11,complete,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",outputs/baselines/flowedit/cat_crown/seed_11/result.png,outputs/baselines/flowedit/cat_crown/seed_11/metadata.json,outputs/baselines/flowedit/cat_crown/seed_11/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,cat_crown,12,complete,data/paper_images/cat_sitting_in_grass.jpg,A photo of a cat sitting in grass.,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",outputs/baselines/flowedit/cat_crown/seed_12/result.png,outputs/baselines/flowedit/cat_crown/seed_12/metadata.json,outputs/baselines/flowedit/cat_crown/seed_12/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_sunglasses,10,complete,data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,A front-facing portrait of a dog in snow.,A front-facing portrait of the same dog wearing black sunglasses in snow.,outputs/baselines/flowedit/dog_sunglasses/seed_10/result.png,outputs/baselines/flowedit/dog_sunglasses/seed_10/metadata.json,outputs/baselines/flowedit/dog_sunglasses/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_sunglasses,11,complete,data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,A front-facing portrait of a dog in snow.,A front-facing portrait of the same dog wearing black sunglasses in snow.,outputs/baselines/flowedit/dog_sunglasses/seed_11/result.png,outputs/baselines/flowedit/dog_sunglasses/seed_11/metadata.json,outputs/baselines/flowedit/dog_sunglasses/seed_11/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,dog_sunglasses,12,complete,data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,A front-facing portrait of a dog in snow.,A front-facing portrait of the same dog wearing black sunglasses in snow.,outputs/baselines/flowedit/dog_sunglasses/seed_12/result.png,outputs/baselines/flowedit/dog_sunglasses/seed_12/metadata.json,outputs/baselines/flowedit/dog_sunglasses/seed_12/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,mug_heart,10,complete,data/pretty_free_candidates/pexels_white_mug_6312107.jpg,A minimalist photo of a plain white ceramic mug on a grey background.,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",outputs/baselines/flowedit/mug_heart/seed_10/result.png,outputs/baselines/flowedit/mug_heart/seed_10/metadata.json,outputs/baselines/flowedit/mug_heart/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,mug_heart,11,complete,data/pretty_free_candidates/pexels_white_mug_6312107.jpg,A minimalist photo of a plain white ceramic mug on a grey background.,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",outputs/baselines/flowedit/mug_heart/seed_11/result.png,outputs/baselines/flowedit/mug_heart/seed_11/metadata.json,outputs/baselines/flowedit/mug_heart/seed_11/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,mug_heart,12,complete,data/pretty_free_candidates/pexels_white_mug_6312107.jpg,A minimalist photo of a plain white ceramic mug on a grey background.,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",outputs/baselines/flowedit/mug_heart/seed_12/result.png,outputs/baselines/flowedit/mug_heart/seed_12/metadata.json,outputs/baselines/flowedit/mug_heart/seed_12/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,backpack_remove_toy_charm,10,complete,data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",outputs/baselines/flowedit/backpack_remove_toy_charm/seed_10/result.png,outputs/baselines/flowedit/backpack_remove_toy_charm/seed_10/metadata.json,outputs/baselines/flowedit/backpack_remove_toy_charm/seed_10/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,backpack_remove_toy_charm,11,complete,data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",outputs/baselines/flowedit/backpack_remove_toy_charm/seed_11/result.png,outputs/baselines/flowedit/backpack_remove_toy_charm/seed_11/metadata.json,outputs/baselines/flowedit/backpack_remove_toy_charm/seed_11/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
flowedit,backpack_remove_toy_charm,12,complete,data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",outputs/baselines/flowedit/backpack_remove_toy_charm/seed_12/result.png,outputs/baselines/flowedit/backpack_remove_toy_charm/seed_12/metadata.json,outputs/baselines/flowedit/backpack_remove_toy_charm/seed_12/command.txt,"source image resized with max_image_size=512 and cropped to multiples of 16, source prompt, target prompt, seed, SD3 model, T_steps=28, n_max=24, tar_guidance_scale=10.5",,official FlowEdit SD3 runner
